"ID"	"AIOne"	"AITwo"	"StartPlayerIndex"	"AIOneWin"
"99"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"100"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"101"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"102"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"103"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"104"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"105"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"106"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"107"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"108"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"109"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"110"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"111"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"112"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"113"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"114"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"115"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"116"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"117"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"118"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"119"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"120"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"121"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"122"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"123"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"124"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"125"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"126"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"127"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"128"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"129"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"130"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"131"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"132"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"133"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"134"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"135"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"136"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"137"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"138"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"139"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"140"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"141"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"142"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"143"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"144"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"145"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"146"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"147"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"148"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"149"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"150"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"151"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"152"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"153"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"154"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"155"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"156"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"157"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"158"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"159"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"160"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"161"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"162"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"163"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"164"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"165"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"166"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"167"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"168"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"169"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"170"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"171"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"172"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"173"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"174"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"175"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"176"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"177"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"178"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"179"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"180"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"181"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"182"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"183"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"184"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"185"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"186"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"187"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"188"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"189"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"190"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"191"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"192"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"193"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"194"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
